screen_name,"conteo favoritos","conteo rts",followers_count
EeAmadrid,60,44,11389
DesarmaMadrid,94,77,3759
PCAMalaga,73,24,1574
AndresSanto_,8,13,2283
MalagaRebellion,48,22,713
PSUC_Stako,0,0,713
VictorPCEMalaga,2,2,6
jjrgrillo,2,0,98
MolinSempere,8,4,980
Anandadharana,0,2,719
ruben_soy_yo,2,0,43
AitorPerezAg,0,0,46
laluluque,22,10,1731
PceMijas,20,10,252
ElenaaTorres99,16,14,1396
eucatstacoloma,18,6,580
HectorPumo,16,10,11759
IvanLafargue69,2,2,43
ma_bustamante84,106,70,5634
mirellag1917,13,2,346
Victor_Reloba,86,68,3515
tomkucharz,18,4,10103
marlon_abogado,1,0,264
cregarla,5,0,1780
JavierMartnPas1,6,0,67
59chechu,30,10,625
MOCBILBAO,88,56,2054
CCOOLaRioja,6,2,2158
JIUBenalmadena,6,4,269
IUBenalmdena,2,0,894
juanpsuc,0,0,510
8Lavapies,4,4,537
LGEAbizkaia,24,0,806
elpce,364,290,78923
LeireOlmeda,2,12,2024
pce_dbvva,2,6,426
LaraOrg,6,0,434
IUElPalo,14,0,423
EU_Vigo,18,6,1357
SerlindaVigara,35,21,1699
PCEExteriorArg,20,5,456
losangeles61,28,28,8028
Rorripalo,20,12,873
RebelionMalaga,6,6,114
Karlos_Rtx,14,8,1275
fridaysff_ALC,13,4,1285
isa_barrajon,42,36,2966
MargaritaGC_Ec,52,38,5932
EvaGSempere,58,36,8313
esXrebellion,40,30,16179
MadridEnPublico,4,0,7797
kquintalbo,98,58,3150
esquerraunida,14,12,13014
PCEExtremadura,24,18,1213
coline_fay,12,10,63
IUAlbacete,6,8,2409
hectorescu31,13,17,494
EU_Valencia,40,26,4195
Javier_VR99,14,16,1058
roysmother,8,4,389
iurioja,8,12,3018
juanikoNavas,12,10,245
JuventudXClima,108,76,17289
EU_SantFeliu,32,28,507
PCETorremolinos,2,0,270
ecologistas,335,305,162206
Yayovi,42,30,1256
Vesu_,2,10,458
fec_fundacion,28,20,3341
ccoopv,24,24,6970
OtraExtremadura,8,12,2840
JovenesIUMadrid,18,22,2640
luisglezreyes,182,90,12933
JovenesIURivas,10,18,36
IUVRM,54,36,3679
YayaDulce,34,26,667
ZarabandaRivas,8,6,1114
FridayForMadrid,16,2,9810
EUIB,16,18,2658
PSindicalEMT,6,4,2408
yayoflautas,94,102,20441
xrmadrid_,124,66,2363
jose_chemane111,12,4,808
iu_aragon,28,30,5476
Antimilitarist2,178,136,2298
FELIXAOVEJERO,16,26,1451
IUTorrelodones,8,4,820
JovenesIU,108,79,29798
IzquierdaUnida,182,170,596849
PCETorrelodones,8,2,269
MurciaXr,15,3,685
PCE_Huesca,0,0,202
IU_Altoaragon,6,5,387
carlosmblay,20,14,3250
PmPepa,0,0,700
chuscarbayubrim,0,0,81
ManuelGermade,19,3,603
malhumorgrafico,1,0,92
miguelico17,2,1,968
ManuelZamoraGo2,1,0,2320
giancarloteles,0,0,3343
YimberliL,0,0,2
laccent,0,0,26152
JBatalla1917,0,0,96
REDOPOTNIUQ,8,2,1281
viwfinanzas,1,0,12
jkanariar,2,0,373
EndavantHG,0,0,1301
LondonStrummer,0,0,176
DavidCoboG,6,6,1710
MptYork,0,0,156
EsquerdaUnida,18,17,10417
AlternativasNo2,31,23,555
uharteko,4,1,1191
FeministaHuesca,20,8,356
Eduu1917,0,0,674
AvicenteGr,2,0,630
juandepca,59,43,10753
UniversidadxC,2,3,1484
josefinamar14,21,13,5269
arnautigre,2,0,1966
LQSomos,2,1,8946
VaneLillo,13,4,7544
BelenAguilarx,3,0,1236
CarlosDenazify,0,0,6
FJQuintero66,144,73,2652
groovydrifter,0,0,1144
FPizcueta,0,0,741
pcte_cyl,6,2,710
moisesrial,1,5,295
porabajo,0,1,1343
aollerov,1,0,715
republicalcor,20,14,2591
